provider,profile_iterations,cuda_kernel_count,cuda_kernels_per_iteration,summed_cuda_kernel_time_us,summed_cuda_kernel_time_per_iteration_us,rmsnorm_marker_count,rmsnorm_markers_per_iteration,rmsnorm_marker_cpu_per_iteration_us,rmsnorm_marker_kernel_count,rmsnorm_marker_kernels_per_iteration,rmsnorm_marker_device_per_iteration_us,trace_path,operator_csv_path,cuda_kernel_csv_path,wall_average_ms,cuda_event_average_ms,git_commit,gpu,torch_version,torch_cuda_version,transformers_version,family,dtype,batch_size,sequence_length,hidden_size,layers,replaced_rmsnorm_count,max_abs_error,mean_abs_error
huggingface_model,5,915,183.0,1709.5059999999714,341.9011999999943,45,9.0,635.0318000000001,360,72.0,104.27499999999682,/home/ubuntu/ZYX/实习项目/LLM-KernelLab/results/profiler/llama_fp16_b1_s32_h512_20260731_152422/llama_fp16_b1_s32_h512_20260731_152422_huggingface_model_trace.json,/home/ubuntu/ZYX/实习项目/LLM-KernelLab/results/profiler/llama_fp16_b1_s32_h512_20260731_152422/llama_fp16_b1_s32_h512_20260731_152422_huggingface_model_operators.csv,/home/ubuntu/ZYX/实习项目/LLM-KernelLab/results/profiler/llama_fp16_b1_s32_h512_20260731_152422/llama_fp16_b1_s32_h512_20260731_152422_huggingface_model_cuda_kernels.csv,1.0091138099475454,1.010705057779948,4c63649,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,5.14.1,llama,fp16,1,32,512,4,9,0.0009765625,2.717588358791545e-07
triton_rmsnorm_model,5,600,120.0,1236.0989999999888,247.21979999999775,45,9.0,409.8517999999998,45,9.0,9.766800000001012,/home/ubuntu/ZYX/实习项目/LLM-KernelLab/results/profiler/llama_fp16_b1_s32_h512_20260731_152422/llama_fp16_b1_s32_h512_20260731_152422_triton_rmsnorm_model_trace.json,/home/ubuntu/ZYX/实习项目/LLM-KernelLab/results/profiler/llama_fp16_b1_s32_h512_20260731_152422/llama_fp16_b1_s32_h512_20260731_152422_triton_rmsnorm_model_operators.csv,/home/ubuntu/ZYX/实习项目/LLM-KernelLab/results/profiler/llama_fp16_b1_s32_h512_20260731_152422/llama_fp16_b1_s32_h512_20260731_152422_triton_rmsnorm_model_cuda_kernels.csv,1.035308470018208,1.0281062825520833,4c63649,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,5.14.1,llama,fp16,1,32,512,4,9,0.0009765625,2.717588358791545e-07
