timestamp,git_commit,gpu,torch_version,torch_cuda_version,triton_version,transformers_version,run_index,case_index,provider_position,case_provider_order,family,case_name,batch_size,sequence_length,rows,hidden_size,numel,dtype,provider,input_is_contiguous,weight_is_contiguous,status,error,first_call_ms,p50_ms,p95_ms,max_abs_error,mean_abs_error,speedup_vs_huggingface
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,8,1,huggingface|triton_adapter,llama,single_token_no_cache,1,1,1,512,512,bf16,huggingface,True,True,ok,,0.067727000,0.016384000,0.017408000,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,8,2,huggingface|triton_adapter,llama,single_token_no_cache,1,1,1,512,512,bf16,triton_adapter,True,True,ok,,0.102278000,0.003872000,0.004096000,0.015625000,0.001441732,4.231405042
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,9,1,triton_adapter|huggingface,llama,prefill_s32,1,32,32,512,16384,bf16,triton_adapter,True,True,ok,,0.047494001,0.003168000,0.004096000,0.031250000,0.001166456,5.494949750
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,9,2,triton_adapter|huggingface,llama,prefill_s32,1,32,32,512,16384,bf16,huggingface,True,True,ok,,0.134488000,0.017408000,0.018432001,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,10,1,huggingface|triton_adapter,llama,prefill_s128,1,128,128,512,65536,bf16,huggingface,True,True,ok,,0.051653000,0.018432001,0.019455999,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,10,2,huggingface|triton_adapter,llama,prefill_s128,1,128,128,512,65536,bf16,triton_adapter,True,True,ok,,0.156202000,0.004096000,0.004288000,0.031250000,0.001113363,4.500000171
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,11,1,triton_adapter|huggingface,llama,prefill_b4_s32,4,32,128,512,65536,bf16,triton_adapter,True,True,ok,,0.042882000,0.004096000,0.004128000,0.031250000,0.001081295,4.500000171
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,11,2,triton_adapter|huggingface,llama,prefill_b4_s32,4,32,128,512,65536,bf16,huggingface,True,True,ok,,0.149889000,0.018432001,0.019455999,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,12,1,huggingface|triton_adapter,qwen2,single_token_no_cache,1,1,1,512,512,bf16,huggingface,True,True,ok,,0.052169999,0.016384000,0.017408000,0.000000000,0.000000000,1.000000000
2026-07-29T16:38:26,2d52b4a,NVIDIA GeForce RTX 4090,2.7.1+cu126,12.6,3.3.1,5.14.1,3,12,2,huggingface|triton_adapter,qwen2,single_token_no_cache,1,1,1,512,512,bf16,triton_adapter,True,True,ok,,0.104594000,0.003904000,0.004096000,0.015625000,0.001441732,4.196721382
